"cost";"from";"to"
39100;46;23
30800;46;54
35100;18;46
40000;23;54
47000;29;23
49000;18;6
57200;18;30
52500;30;6
53200;30;41
59000;29;41
71000;29;18
76800;29;2
27000;2;19
42100;41;39
29200;7;51
46600;7;19
43100;4;7
41600;4;50
30800;51;4
58900;50;51
68700;28;50
60500;19;44
39300;49;41
53200;41;24
60300;19;51
19000;51;28
26100;28;44
47600;19;12
35000;12;49
41800;44;49
68100;50;37
72000;37;11
20000;17;6
28100;17;5
28700;6;5
46700;6;1
50100;5;38
40500;5;3
24000;5;1
12500;1;3
34200;3;57
30600;3;38
43800;57;38
60300;38;16
36900;17;33
41300;17;8
31700;8;33
33300;33;15
22000;15;43
37900;33;43
46200;43;16
22100;15;45
41300;45;16
41000;20;45
57800;57;39
38400;39;25
37100;25;52
36400;25;36
54100;36;14
42700;52;9
87700;9;14
37500;36;52
44000;9;21
55500;39;24
58700;24;26
40400;26;52
38700;26;25
46000;24;25
26200;26;48
59100;48;11
28800;11;40
37100;40;42
66200;42;52
29100;40;31
78500;31;21
59200;38;14
74000;16;53
32400;14;53
24400;53;47
42500;47;35
49900;55;13
46600;55;53
58200;55;21
40200;16;27
23100;20;10
33300;10;47
47700;56;47
32700;56;32
34700;56;10
38800;34;13
38900;35;13
55400;34;21
41600;13;22
44800;22;35
54000;35;32
57200;32;22
